AgentID,Conversation_Length,Conversation_With_Like,People_Around_To_Talk,Action

536,0,0,1,3
536,1,0,1,4
536,2,0,1,2
536,0,0,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,0,1,4
536,2,0,1,2
536,0,0,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,0,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3
536,1,1,1,4
536,2,1,1,4
536,3,1,1,4
536,4,1,1,4
536,5,1,1,1
536,0,1,1,3

666,0,0,0,2
666,0,0,0,2
666,0,0,0,2
666,0,0,0,2
666,0,0,0,2
666,0,0,1,3
666,1,1,1,4
666,2,1,1,4
666,3,1,1,4
666,4,1,1,4
666,5,1,1,1
666,0,1,1,3
666,1,1,1,4
666,2,1,1,4
666,3,1,1,4
666,4,1,1,4
666,5,1,1,1
666,0,1,1,3
666,1,1,1,4
666,2,1,1,4
666,3,1,1,4
666,4,1,1,4
666,5,1,1,1
666,0,1,1,3
666,1,1,1,4
666,2,1,1,4
666,3,1,1,4
666,4,1,1,4
666,5,1,1,1
666,0,1,1,3
666,1,1,1,4
666,2,1,1,4
666,3,1,1,4
666,4,1,1,4
666,5,1,1,1
666,0,1,1,3
666,1,1,1,4
666,2,1,1,4
666,3,1,1,4
666,4,1,1,4
666,5,1,1,1
666,0,1,1,3
666,1,1,1,4
666,2,1,1,4
666,3,1,1,4
666,4,1,1,4
666,5,1,1,1
666,0,1,0,1
666,0,1,1,3
666,1,1,1,4
666,2,1,1,4
666,3,1,1,4
666,4,1,1,4
666,5,1,1,1
666,0,1,0,1
666,0,1,1,3
666,1,1,1,4
666,2,1,1,4
666,3,1,1,4
666,4,1,1,4
666,5,1,1,1
666,0,1,1,3
666,1,1,1,4
666,2,1,1,4
666,3,1,1,4
666,4,1,1,4
666,5,1,1,1
666,0,1,0,1
666,0,1,0,1
666,0,1,0,1
666,0,1,1,3
666,1,0,1,4
666,2,0,1,2
666,0,0,0,2
666,0,0,1,3
666,1,0,1,4
666,2,0,1,2
666,0,0,1,3
666,1,0,1,4
666,2,0,1,2
666,0,0,1,3
666,1,0,1,4
666,2,0,1,2
666,0,0,1,3

152,0,0,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,0,1
152,0,1,1,3
152,1,0,1,4
152,2,0,1,2
152,0,0,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,0,1
152,0,1,0,1
152,0,1,1,3
152,1,0,1,4
152,2,0,1,2
152,0,0,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,0,1
152,0,1,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4
152,4,1,1,4
152,5,1,1,1
152,0,1,1,3
152,1,1,1,4
152,2,1,1,4
152,3,1,1,4

118,0,0,1,3
118,1,0,1,4
118,2,0,1,2
118,0,0,1,3
118,1,1,1,4
118,2,1,1,4
118,3,1,1,4
118,4,1,1,4
118,5,1,1,1
118,0,1,1,3
118,1,0,1,4
118,2,0,1,2
